id,generation,lobe,radius,x1,y1,z1,x2,y2,z2
2141,11,3,0.48266459367001935,96.6179,124.293,110.076,99.0111,125.517,113.023
2145,11,3,0.4826641026331161,96.5703,118.571,118.746,98.1559,121.283,121.565
2146,11,3,0.46825259707914346,96.5703,118.571,118.746,98.2225,117.773,121.19
1023,11,4,0.5407692184937556,242.434,99.3846,181.237,240.287,99.5764,182.447
1024,11,4,0.524623543211055,242.434,99.3846,181.237,240.676,98.2126,180.641
1028,11,4,0.5246228797498921,261.384,104.602,180.437,260.558,106.344,177.603
1029,11,4,0.5089594566658031,261.384,104.602,180.437,265.554,104.97,181.48
1045,11,4,0.6388473310864009,194.404,83.0911,202.969,196.577,86.0229,198.908
1048,11,4,0.6197726130850181,194.404,83.0911,202.969,194.458,85.7464,204.322
1083,11,4,0.601267897253602,220.555,73.5761,211.49,221.241,68.8141,214.725
1086,11,4,0.5833153123174225,220.555,73.5761,211.49,224.917,72.4545,211.856
2173,11,3,0.41139591018022825,53.8321,124.23,115.329,49.0759,123.074,112.726
2174,11,3,0.3991124240517401,53.8321,124.23,115.329,55.8402,122.177,114.639
2176,11,3,0.3991126883500926,53.6304,125.499,120.182,56.3175,122.455,122.717
2177,11,3,0.3871961849792594,53.6304,125.499,120.182,49.2434,124.843,119.992
2181,11,3,0.411395440385243,58.1302,146.319,108.264,60.9637,142.606,108.011
2182,11,3,0.3991117764085287,58.1302,146.319,108.264,56.9057,148.868,106.171
1060,11,4,0.6197726414063451,189.372,64.4688,216.451,192.15,67.3353,218.052
1063,11,4,0.6012679260800646,189.372,64.4688,216.451,186.599,59.7028,218.723
1067,11,4,0.6012678368453885,183.626,60.7143,212.273,181.114,54.6951,210.649
1070,11,4,0.5833158392146085,183.626,60.7143,212.273,177.709,57.4996,214.101
1076,11,4,0.6197728604747709,218.496,83.3904,205.203,216.771,86.7606,201.344
1079,11,4,0.6012680682717213,218.496,83.3904,205.203,221.33,85.1519,205.313
2427,11,3,0.47938524483988687,113.777,144.266,133.917,112.981,144.866,135.961
2428,11,3,0.46507186260822386,113.777,144.266,133.917,111.676,141.171,133.158
2184,11,3,0.399112319581976,55.1387,151.767,112.141,56.1172,154.505,115.219
2185,11,3,0.3871960787772481,55.1387,151.767,112.141,52.0885,155.752,110.711
2188,11,3,0.39911266828245684,47.8905,139.798,108.879,47.7703,138.557,106.52
2189,11,3,0.38719566541382383,47.8905,139.798,108.879,44.2228,138.986,107.994
2191,11,3,0.38719619569647923,49.6378,146.11,114.906,49.3049,150.256,118.369
2192,11,3,0.3756356840615107,49.6378,146.11,114.906,46.4166,147.611,115.114
2197,11,3,0.4666994172240627,86.2377,139.109,125.709,88.2132,136.711,125.376
2198,11,3,0.45276441054258554,86.2377,139.109,125.709,85.7114,138.455,129.143
2167,11,3,0.41139585802815554,55.8241,135.367,129.314,50.8676,136.419,129.652
2170,11,3,0.3991126872256141,55.8241,135.367,129.314,58.356,133.999,133.036
2430,11,3,0.4650718037672992,115.801,150.542,131.304,114.52,154.777,131.456
2431,11,3,0.4511860395685811,115.801,150.542,131.304,115.114,150.738,129.339
2434,11,3,0.4650718651599158,130.219,139.759,129.153,129.835,135.152,129.983
2435,11,3,0.4511862368665548,130.219,139.759,129.153,134.07,139.482,127.185
2437,11,3,0.4511860075357576,126.812,145.855,128.191,128.218,151.692,125.967
2438,11,3,0.4377143301304663,126.812,145.855,128.191,126.501,141.611,127.105
2204,11,3,0.45276495377686177,78.8401,150.944,111.848,75.7058,152.902,111.484
2205,11,3,0.4392466065290773,78.8401,150.944,111.848,78.8344,153.124,110.925
2207,11,3,0.43924615222918495,84.814,146.238,111.186,86.6206,143.471,108.604
2208,11,3,0.42613180240374937,84.814,146.238,111.186,86.5323,148.481,110.742
1275,11,4,0.5333996189407394,226.97,138.779,252.849,234.654,142.249,250.262
1290,11,4,0.5174735836284498,226.97,138.779,252.849,227.344,138.852,259.672
1091,11,4,0.6012679436158068,206.595,63.3965,216.756,208.594,60.6344,220.549
1092,11,4,0.583315365946684,206.595,63.3965,216.756,203.826,60.4991,217.903
